adm4_pcode,adm4_en,adm3_pcode,adm3_en,adm2_pcode,adm2_en,adm1_pcode,adm1_en,brgy_total_area,uuid,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PH072230015,Labogon,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.4291,PNHZD00005F,1/1/2015,S,14.6915,11.2459,7.9883,0,0,0,0,0,0,0,0,0
PH072230016,Looc,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.9242,PNHZD000060,1/1/2015,S,18.0568,0.5005,0,0,0,0,0,0,0,0,0,0
PH112402032,Catigan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,23.2927,PNHZD000061,1/1/2015,S,5.7322,3.2456,2.2688,4.482,1.9528,1.7573,3.425,1.5133,1.2078,6.6447,12.7733,0.9112
PH112402160,Barangay 27-C (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.3128,PNHZD000062,1/1/2015,S,25.8344,1.8175,0,20.2877,0.4392,0,12.1116,0.0367,0,0,0,0
PH112402068,Manambulan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,7.7238,PNHZD000063,1/1/2015,S,11.5754,7.1234,2.1008,0.0281,0.0412,0.809,0.0329,0.0386,0.6908,0.3915,0.4353,0.0252
PH112402041,Daliaon Plantation,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,10.4038,PNHZD000064,1/1/2015,S,5.7589,1.6822,3.4558,4.7739,1.4203,3.0922,3.3963,1.1359,2.4936,4.1664,16.9259,7.0837
PH112402067,Malamba,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,102.9197,PNHZD000065,1/1/2015,S,0.8983,4.1868,8.0411,0,0,0,0,0,0,3.9579,27.5765,57.2318
PH112402165,Barangay 32-D (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.1536,PNHZD000066,1/1/2015,S,59.3885,8.0291,2.7343,44.5327,4.6296,2.6692,16.8523,3.8758,2.3437,0,0,0
PH112402033,Cawayan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,8.5501,PNHZD000067,1/1/2015,S,7.2694,4.6341,6.1955,0,0,0,0,0,0,1.6858,5.4824,2.3376
PH112402110,Tacunan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,8.0289,PNHZD000068,1/1/2015,S,7.3088,6.1308,3.9005,6.5978,5.8379,3.1996,5.3726,4.8255,2.2049,3.7705,4.8864,0.2582
PH112402038,Dalag,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,33.026,PNHZD000069,1/1/2015,S,0.9119,4.0617,3.9219,0,0,0,0,0,0,7.4649,35.557,36.9524
PH112402135,Barangay 2-A (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.2119,PNHZD00006A,1/1/2015,S,15.9929,30.2702,31.5426,14.0783,6.9021,23.0298,10.1976,9.8278,12.267,0,0,0
PH112402148,Barangay 15-B (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.3056,PNHZD00006B,1/1/2015,S,38.2196,18.4966,0,35.8288,9.9849,0,21.5339,2.3987,0,0,0,0
PH112402108,Sumimao,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,27.787,PNHZD00006C,1/1/2015,S,1.8071,4.3223,3.8123,0,0,0,0,0,0,12.0119,46.1283,21.306
PH112402028,Camansi,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,3.5919,PNHZD00006D,1/1/2015,S,8.0441,1.7158,8.2931,6.5453,1.2441,7.5942,4.4845,0.9745,6.3716,2.9921,5.8855,4.2323
PH112402092,Paradise Embak,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,22.6126,PNHZD00006E,1/1/2015,S,2.3309,5.2614,4.2221,0,0,0,0,0,0,11.0357,58.9096,23.6623
PH112402162,Barangay 29-C (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.1016,PNHZD00006F,1/1/2015,S,49.9174,0.1969,0,29.4292,0,0,10.1775,0,0,0,0,0
PH112402186,Lapu-lapu,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.6423,PNHZD000070,1/1/2015,S,28.8992,33.7235,0,0,0,0,0,0,0,0,0,0
PH112402115,Talandang,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,13.2134,PNHZD000071,1/1/2015,S,3.4998,4.1953,19.5959,0.4076,0.5894,14.5901,0.4169,0.5025,13.7812,6.5415,23.8797,6.4494
PH112402193,Santo Niño,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,1.5077,PNHZD000072,1/1/2015,S,18.6532,13.7854,3.0784,0.7647,0.0253,0.0006,0.3834,0.014,0,0.1273,0.4626,0
PH112402030,Catalunan Grande,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,16.0458,PNHZD000073,1/1/2015,S,7.5756,5.1656,4.9994,6.5503,4.7846,4.3322,5.0718,3.927,3.0107,3.6839,7.2481,1.5825
PH112402178,Buda,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,19.4714,PNHZD000074,1/1/2015,S,0.5842,4.2842,2.8384,0,0,0,0,0,0,3.6604,22.5624,70.0029
PH112402196,Wilfredo Aquino,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.6745,PNHZD000075,1/1/2015,S,17.4201,3.7573,0.0465,2.3378,0,0,1.1959,0,0,0,0,0
PH112402049,Ilang,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,4.9212,PNHZD000076,1/1/2015,S,8.2691,10.8776,4.9339,0,0,0,0,0,0,4.3532,3.336,0
PH112402073,Marilog,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,173.0525,PNHZD000077,1/1/2015,S,1.3826,4.9717,4.2624,0.0216,0.0103,0.0031,0.0178,0.0061,0.0031,9.3072,39.3385,32.0956
PH112402100,San Isidro (Licanan),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,8.0747,PNHZD000078,1/1/2015,S,19.7097,25.0095,5.8733,0,0,0,0,0,0,1.7207,3.0309,0.2551
PH112402081,Mulig,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,9.3236,PNHZD000079,1/1/2015,S,13.2056,7.6411,3.6059,3.5073,1.7935,2.7426,2.0092,0.7815,2.0358,0.4341,0.4893,0.0581
PH112402040,Daliao,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,1.8976,PNHZD00007A,1/1/2015,S,24.2773,36.6768,10.3392,27.4842,29.2671,4.1576,13.7446,19.0763,0.6381,0,0,0
PH112402198,Vicente Hizon Sr.,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,2.2045,PNHZD00007B,1/1/2015,S,18.3843,6.0537,0.8231,0,0,0,0,0,0,0,0,0
PH112402179,Centro (San Juan),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.5183,PNHZD00007C,1/1/2015,S,47.5035,34.3467,0,0,0,0,0,0,0,0,0,0
PH112402043,Dumoy,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,5.4992,PNHZD00007D,1/1/2015,S,23.6298,15.8636,1.1511,0.8606,0.4281,0,0.682,0.2608,0,0,0,0
PH112402001,Acacia,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,11.7316,PNHZD00007E,1/1/2015,S,2.2467,5.5116,3.9854,0.0907,0.0825,0.0251,0.0831,0.0748,0.0084,10.3428,25.0197,4.53
PH112402137,Barangay 4-A (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.231,PNHZD00007F,1/1/2015,S,48.0813,22.9094,0,48.2124,14.8364,0,43.3552,3.8867,0,0,0,0
PH112402140,Barangay 7-A (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.2006,PNHZD000080,1/1/2015,S,22.1001,4.37,0,20.7724,1.6128,0,14.4763,0.7784,0,0,0,0
PH112402097,Riverside,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,5.3055,PNHZD000081,1/1/2015,S,9.4355,9.2829,22.8346,0,0,0,0,0,0,0,0,0
PH112402053,Lamanan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,19.5583,PNHZD000082,1/1/2015,S,2.9,4.4606,12.7143,0,0,0,0,0,0,7.751,28.5317,21.8771
PH112402024,Cadalian,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,7.4796,PNHZD000083,1/1/2015,S,6.2108,2.1276,2.7987,0,0,0,0,0,0,0.3732,3.8818,13.3523
PH112402120,Tamugan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,11.6428,PNHZD000084,1/1/2015,S,10.5043,3.3581,15.743,0,0,0,0,0,0,3.8982,12.0051,3.6884
PH112402055,Langub,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,9.3777,PNHZD000085,1/1/2015,S,2.9521,3.3447,7.1158,3.1855,2.876,6.1604,2.2763,2.1573,5.1533,13.0479,28.474,4.8362
PH112402129,Ula,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,10.0393,PNHZD000086,1/1/2015,S,10.338,5.4547,4.0734,5.2229,3.1861,0.895,4.2688,2.5078,0.4812,0.8512,0.3472,0
PH112402090,Pangyan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,8.6083,PNHZD000087,1/1/2015,S,4.1404,5.3033,14.3013,0,0,0,0,0,0,3.3659,14.8814,4.4127
PH112402190,Rafael Castillo,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.5081,PNHZD000088,1/1/2015,S,22.7125,50.3768,0,0,0,0,0,0,0,0,0,0
PH112402072,Marapangi,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,6.483,PNHZD000089,1/1/2015,S,4.1178,7.1186,19.006,3.7779,7.8894,16.917,3.5017,8.9547,13.2941,2.7425,6.7824,1.5314
PH112402047,Gatungan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,7.6394,PNHZD00008A,1/1/2015,S,2.4865,6.6887,12.4658,0,0,0,0,0,0,8.9765,26.4097,8.4124
PH112402133,Wines,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,9.0071,PNHZD00008B,1/1/2015,S,16.6031,3.0038,3.4521,0,0,0,0,0,0,0.7988,3.7594,2.6241
PH112402039,Dalagdag,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,3.6065,PNHZD00008C,1/1/2015,S,2.3677,6.7406,6.976,0,0,0,0,0,0,11.0404,37.8941,20.8815
PH112402019,Binugao,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,5.8794,PNHZD00008D,1/1/2015,S,8.4639,16.7046,5.4377,6.4449,9.9796,3.3842,5.9647,7.8132,2.2165,1.1564,1.3288,0
PH112402164,Barangay 31-D (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.1107,PNHZD00008E,1/1/2015,S,31.7118,0.5495,0,23.1736,0.0904,0,12.2365,0,0,0,0,0
PH112402159,Barangay 26-C (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.0806,PNHZD00008F,1/1/2015,S,23.4409,5.8304,0,20.6301,2.547,0,15.47,0,0,0,0,0
PH112402141,Barangay 8-A (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.9395,PNHZD000090,1/1/2015,S,2.9214,4.5827,43.1372,3.135,2.885,32.9661,2.9034,2.5895,30.4963,4.0744,3.2698,0
PH112402176,Bago Aplaya,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,2.6008,PNHZD000091,1/1/2015,S,19.6475,46.8274,3.0392,0,0,0,0,0,0,0,0,0
PH112402143,Barangay 10-A (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.9651,PNHZD000092,1/1/2015,S,11.9775,6.9011,64.0658,15.9176,12.1285,35.5311,13.2299,4.3666,29.8254,0.5147,0.0454,0
PH112402010,Baliok,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,2.4423,PNHZD000093,1/1/2015,S,15.9865,13.3999,1.8867,0.0165,0,0,0.012,0,0,0.0144,0.0014,0
PH112402018,Biao Joaquin,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,5.1565,PNHZD000094,1/1/2015,S,9.1189,4.1896,0.8458,1.2349,0.4097,0,1.0137,0.209,0,2.7078,2.3162,0
PH112402116,Talomo (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,6.5586,PNHZD000095,1/1/2015,S,13.0383,29.2247,9.0914,10.6047,8.5776,3.6889,8.319,5.9737,2.1116,2.4359,4.0222,1.1292
PH112402107,Subasta,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,11.8145,PNHZD000096,1/1/2015,S,19.0806,7.4451,3.4119,0,0,0,0,0,0,0.724,1.4877,0.1652
PH112402144,Barangay 11-B (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.1376,PNHZD000097,1/1/2015,S,54.8274,8.9712,0,47.4759,3.4522,0,27.9848,0.7185,0,0,0,0
PH112402013,Baracatan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,10.6276,PNHZD000098,1/1/2015,S,5.9282,4.5802,2.9704,0,0,0,0,0,0,4.5591,8.5627,0.2728
PH112402036,Crossing Bayabas,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.8443,PNHZD000099,1/1/2015,S,8.8721,38.1519,41.0386,13.022,40.0249,31.9331,17.0786,37.0818,19.0722,0,0,0
PH112402060,Lumiad,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,26.6748,PNHZD00009A,1/1/2015,S,1.2454,4.533,3.7289,0,0,0,0,0,0,8.3379,38.213,35.073
PH112402173,Barangay 40-D (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.1287,PNHZD00009B,1/1/2015,S,5.4156,28.4313,35.7973,16.7649,38.3777,6.7939,13.0827,2.1241,4.0381,0,0,0
PH112402138,Barangay 5-A (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.3538,PNHZD00009C,1/1/2015,S,3.9357,6.4713,59.0459,4.3976,14.0811,36.9357,6.9511,14.0469,17.4519,0.6273,0,0
PH112402077,Matina Pangi,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,5.4165,PNHZD00009D,1/1/2015,S,6.4634,8.79,22.8647,7.473,10.9481,19.1908,7.0401,12.5182,12.7366,10.17,21.7273,2.5178
PH112402050,Indangan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,13.4951,PNHZD00009E,1/1/2015,S,2.6047,4.2365,3.2627,1.3114,1.5453,1.229,1.2219,1.5088,0.4459,8.8832,20.2381,3.3637
PH112402174,Angalan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,4.6088,PNHZD00009F,1/1/2015,S,14.8775,5.1966,4.6237,0,0,0,0,0,0,0.2071,0,0
PH112402088,Panalum,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,10.2785,PNHZD0000A0,1/1/2015,S,1.792,6.6212,16.8673,0,0,0,0,0,0,8.3582,41.0119,21.4929
PH112402105,Sirib,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,20.7203,PNHZD0000A1,1/1/2015,S,6.6362,3.9782,2.9348,0.1206,0.1242,0.5943,0.1085,0.1092,0.491,2.9574,8.4223,3.368
PH112402189,Megkawayan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,18.9326,PNHZD0000A2,1/1/2015,S,1.5721,5.0265,3.4119,0,0,0,0,0,0,15.489,44.9783,14.6919
PH112402122,Tawan-tawan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,9.9831,PNHZD0000A3,1/1/2015,S,7.758,3.0751,4.1741,0,0,0,0,0,0,1.3855,7.5243,6.102
PH112402058,Los Amigos,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,4.793,PNHZD0000A4,1/1/2015,S,14.1277,14.1066,27.6129,0,0,0,0,0,0,0,0,0
PH112402009,Balengaeng,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,4.4147,PNHZD0000A5,1/1/2015,S,14.5717,5.8662,3.5576,0,0,0,0,0,0,0.2329,0.0754,0
PH112402166,Barangay 33-D (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.1141,PNHZD0000A6,1/1/2015,S,57.8981,9.1836,0,51.8706,4.5212,0,34.6142,1.6187,0,0,0,0
PH112402142,Barangay 9-A (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.7932,PNHZD0000A7,1/1/2015,S,9.8609,6.1864,54.6704,13.2936,11.9256,24.0703,12.3244,9.5314,16.1197,1.8839,0.4881,0
PH112402048,Gumalang,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,15.1174,PNHZD0000A8,1/1/2015,S,9.7348,3.999,7.867,0,0,0,0,0,0,2.4471,9.7654,2.7738
PH112402063,Magtuod,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,8.3241,PNHZD0000A9,1/1/2015,S,2.5964,2.5372,4.6004,2.626,2.5802,3.8759,2.308,2.3774,2.9636,14.109,39.9601,14.8694
PH112402023,Cabantian,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,9.9051,PNHZD0000AA,1/1/2015,S,3.7706,5.2657,4.1669,1.0089,0.856,1.0782,0.9381,0.7683,0.7887,6.7874,8.8207,0.5783
PH112402901,Mount Apo National Park under Jurisdiction of Davao City,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,226.8714,PNHZD0000AB,1/1/2015,S,1.2152,3.8918,3.043,0.5623,0.4114,0.4545,0.4884,0.3551,0.3365,5.2828,26.7795,57.8851
PH112402091,Paquibato (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,37.3487,PNHZD0000AC,1/1/2015,S,2.2881,6.1402,5.4849,0,0,0,0,0,0,9.5481,41.6425,22.0155
PH112402089,Pandaitan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,32.8952,PNHZD0000AD,1/1/2015,S,1.5339,4.4514,6.229,0,0,0,0,0,0,10.3754,58.3673,28.437
PH112402139,Barangay 6-A (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.1524,PNHZD0000AE,1/1/2015,S,19.9614,3.2489,0,17.7169,1.9504,0,12.9949,0.7811,0,0,0,0
PH112402192,San Antonio,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.9665,PNHZD0000AF,1/1/2015,S,35.7204,30.516,2.9887,0,0,0,0,0,0,0,0,0
PH112402079,Mintal,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,6.4593,PNHZD0000B0,1/1/2015,S,12.6202,11.0847,1.8724,0.1297,0.3038,0.1847,0.1232,0.3001,0.0961,0.2612,0.182,0.0211
PH112402119,Tambobong,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,12.4839,PNHZD0000B1,1/1/2015,S,1.7645,4.7882,7.4427,0,0,0,0,0,0,12.1911,35.9463,11.14
PH112402035,Communal,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,5.4777,PNHZD0000B2,1/1/2015,S,4.0179,4.8316,5.6608,0,0,0,0,0,0,5.7159,5.0747,0.1638
PH112402102,Sibulan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,17.1948,PNHZD0000B3,1/1/2015,S,1.2732,4.8265,4.9334,0,0,0,0,0,0,10.4108,37.7859,17.2323
PH112402106,Suawan (Tuli),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,44.6619,PNHZD0000B4,1/1/2015,S,1.0424,4.3702,5.3556,0,0,0,0,0,0,9.3757,34.3208,29.5406
PH112402163,Barangay 30-C (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.2019,PNHZD0000B5,1/1/2015,S,34.9148,2.0163,0,26.3137,0.8673,0,14.4367,0.2475,0,0,0,0
PH112402172,Barangay 39-D (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.1385,PNHZD0000B6,1/1/2015,S,25.3677,22.0383,8.6114,24.7305,11.5836,0,16.3535,0.2166,0,0,0,0
PH112402124,Tibungco,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,7.7711,PNHZD0000B7,1/1/2015,S,10.3,5.0137,3.5991,0,0,0,0,0,0,4.1347,8.2416,0.7128
PH112402016,Biao Escuela,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,11.5732,PNHZD0000B8,1/1/2015,S,8.835,5.7249,4.3725,6.9799,4.4644,3.3278,5.2781,3.683,2.1765,1.8625,4.6339,1.2062
PH112402149,Barangay 16-B (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.0551,PNHZD0000B9,1/1/2015,S,55.0847,20.261,0,49.7244,10.4108,0,28.6542,5.4213,0,0,0,0
PH112402015,Bayabas,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,12.8183,PNHZD0000BA,1/1/2015,S,3.119,1.9934,4.2331,2.7402,1.9062,3.6396,2.3299,1.7211,2.7465,8.4482,19.779,9.6226
PH112402064,Mahayag,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,7.6898,PNHZD0000BB,1/1/2015,S,5.3466,5.415,2.0348,0,0,0,0,0,0,4.0157,7.4623,0.5326
PH112402126,Toril (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,1.5299,PNHZD0000BC,1/1/2015,S,11.7065,40.1408,19.4646,11.4143,39.9555,14.464,23.9869,18.9497,8.0931,0,0,0
PH112402167,Barangay 34-D (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.1896,PNHZD0000BD,1/1/2015,S,19.1034,4.2739,0,16.7071,2.1588,0,9.9407,0.6957,0,0,0,0
PH112402069,Mandug,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,10.1824,PNHZD0000BE,1/1/2015,S,3.3565,5.4491,45.3602,4.9798,4.8894,39.4271,3.7025,3.24,34.7603,6.7782,16.605,3.9578
PH112402181,Gov. Paciano Bangoy,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.8366,PNHZD0000BF,1/1/2015,S,40.3686,15.2192,0,37.5911,8.0276,0,24.7602,2.9682,0,0,0,0
PH112402070,Manuel Guianga,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,10.0402,PNHZD0000C0,1/1/2015,S,4.7021,3.6895,2.5788,0.0544,0.0736,1.2976,0.0488,0.0627,1.0781,1.5547,3.3803,4.5227
PH112402098,Salapawan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,29.5693,PNHZD0000C1,1/1/2015,S,1.0894,4.303,6.7979,0,0,0,0,0,0,5.3558,45.8021,40.0996
PH112402004,Atan-Awe,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,2.8892,PNHZD0000C2,1/1/2015,S,2.7446,5.7798,2.4013,0,0,0,0,0,0,7.122,10.2531,0
PH112402022,Bunawan (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,7.0881,PNHZD0000C3,1/1/2015,S,20.1822,22.8065,4.1873,2.8118,6.1028,1.1477,2.23,5.5734,0.3343,1.0947,1.105,0.0803
PH112402169,Barangay 36-D (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.0638,PNHZD0000C4,1/1/2015,S,59.977,7.0958,0,50.9278,1.7062,0,29.8433,0,0,0,0,0
PH112402051,Kilate,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,6.6873,PNHZD0000C5,1/1/2015,S,4.6752,3.1236,4.0221,4.4979,2.9229,3.2966,4.0869,2.2529,2.5526,5.1817,11.9166,10.7538
PH112402005,Bago Gallera,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,6.5934,PNHZD0000C6,1/1/2015,S,14.0187,17.1143,3.1323,0,0,0,0,0,0,0.1794,0.1376,0
PH112402180,Datu Salumay,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,20.1263,PNHZD0000C7,1/1/2015,S,2.4494,4.9689,2.7197,0.9683,0.5411,0.2269,0.8157,0.4002,0.1236,9.9862,34.4578,34.6371
PH112402007,Baguio (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,8.5557,PNHZD0000C8,1/1/2015,S,11.2331,6.2785,1.9841,0,0,0,0,0,0,0.2767,1.1356,4.2391
PH112402104,Sirawan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,9.0399,PNHZD0000C9,1/1/2015,S,8.9469,8.8261,4.0755,7.8837,7.6291,3.4354,6.3929,5.6046,2.6788,0.8263,0.7846,0
PH112402112,Tagakpan,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,7.0766,PNHZD0000CA,1/1/2015,S,15.1066,4.1517,1.3757,0,0,0,0,0,0,0.6576,0.79,0.0012
PH112402182,Gov. Vicente Duterte,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.3148,PNHZD0000CB,1/1/2015,S,40.4172,0,0,1.7423,0,0,0.9709,0,0,0,0,0
PH112402113,Tagluno,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,5.6283,PNHZD0000CC,1/1/2015,S,7.8669,2.4252,3.6188,6.6989,1.8628,3.2476,5.0279,1.1618,2.6305,1.8773,7.0773,5.4689
PH112402027,Callawa,PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,14.0751,PNHZD0000CD,1/1/2015,S,2.0715,4.1816,40.4316,0.7785,0.4591,32.3143,0.6511,0.5673,30.5483,7.8665,27.6096,11.2821
PH112402155,Barangay 22-C (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.0977,PNHZD0000CE,1/1/2015,S,29.633,1.006,0,19.3124,0.3085,0,13.356,0,0,0,0,0
PH112402147,Barangay 14-B (Pob.),PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.178,PNHZD0000CF,1/1/2015,S,29.4454,0.43,0,23.3436,0.1123,0,14.5113,0,0,0,0,0
PH112402187,"Leon Garcia, Sr.",PH112402000,Davao City,PH112400000,Davao del Sur,PH110000000,Region XI,0.1943,PNHZD0000D0,1/1/2015,S,26.6865,10.4406,0,18.271,7.9865,0,10.4474,4.1265,0,0,0,0
